PREBUILD ID,TITLE,PRICE,IMAGE PATH,TAG,PACKAGE TYPE,WARRANTY MONTHS,WARRANTY TEXT,ORDER METHOD,DESCRIPTION,SPEC 1,SPEC 2,SPEC 3,SPEC 4,SPEC 5,SPEC 6,SPEC 7,SPEC 8,SPEC 9,SPEC 10,SPEC 11,SPEC 12,STATUS
PB-OFFICE-DDR3,Office Value PC,58500,assets/img/prebuild/prebuild-office-ddr3.jpg,Best budget,Office Package,1,Shop warranty as available,Cart checkout + WhatsApp receipt,"Budget friendly ready PC package for office, POS, billing, browsing and study work.",Intel Core i5 4th Gen,H81/B85 Motherboard,8GB DDR3 RAM,128GB SSD,"Office, POS and study work",,,,,,,,INSTOCK
PB-STUDY-DDR4,Study / Home PC,79500,assets/img/prebuild/prebuild-study-ddr4.jpg,DDR4 value,Home Package,1,Shop warranty as available,Cart checkout + WhatsApp receipt,"DDR4 value package for home, online classes, office work and daily multitasking.",Intel Core i5 6th Gen,H110 DDR4 Motherboard,8GB DDR4 RAM,256GB SSD,Online classes and daily use,,,,,,,,INSTOCK
PB-GAMING-STARTER,Gaming Starter PC,128000,assets/img/prebuild/prebuild-gaming-starter.jpg,Popular,Gaming Starter,1,Shop warranty as available,Cart checkout + WhatsApp receipt,Gaming starter PC package with compatible parts and graphics card upgrade option.,Intel Core i5 8th Gen,B360/H310 Motherboard,16GB DDR4 RAM,SSD + optional graphics card,"Free Fire, GTA V and eSports starter",,,,,,,,INSTOCK
PB-MODERN-I3,Modern Desktop PC,149000,assets/img/prebuild/prebuild-modern-i3.jpg,Newer platform,Modern Desktop,6,Shop / brand warranty as available,Cart checkout + WhatsApp receipt,"Modern DDR4 platform package for office, design basics, browsing and multitasking.",Intel Core i3 10th Gen,H410 Motherboard,8GB/16GB DDR4 RAM,Fast SSD storage,"Office, design and multitasking",,,,,,,,ONLINE ORDERS ONLY
